Protein	Source ID	Standard Name	ratio	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P00509	fluxes_Gecko_GLC_CHEM_mu=0.41_P	aspC	0.0639085390878072	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_BATCH_mu=0.58_S	aspC	0.0643673870642101	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.51_P	aspC	0.0663701153205071	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_PYR_BATCH_mu=0.4_S	aspC	0.0667800902382668	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_MAN_BATCH_mu=0.47_S	aspC	0.0683056940299969	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.50_S	aspC	0.0686113044032954	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P61889	fluxes_Gecko_GLC_CHEM_mu=0.12_S	mdh	0.0692825053298294	41.7025816677535	0.389334047502213	0.3874	0.3123	0.2218	0.2892	0.567	0.508	0.711	39.4	0.49	0.525	308	312	0.19359	0.044872	0.781	0.81366546394789	1.43772724414581	1.40670461795029	0.0233939608549452	0.689320388349515	0.636041617599055	0.442393799094308	0.378953324573291	0.26939082998495	0.232411932047201	0.380170219556913	39.4011187717518	53.9861716458411	58.0214458706668	0.2996410133355	-0.3373	0.4726
P0A6S7	fluxes_Gecko_GLC_CHEM_mu=0.21_P	gpsA	0.101681660478689	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
P0A6S7	fluxes_Gecko_GLC_CHEM_mu=0.22_P	gpsA	0.101681660478689	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
P00509	fluxes_Gecko_GLC_CHEM_mu=0.21_P	aspC	0.102071798185775	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.21_V	aspC	0.10299020267301	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.22_P	aspC	0.103062059453591	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.20_S	aspC	0.106388327350312	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.26_P	aspC	0.111671462433166	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.31_V	aspC	0.114107895575748	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P00509	fluxes_Gecko_GLC_CHEM_mu=0.31_P	aspC	0.114291085879458	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P61949	fluxes_Gecko_XYL_BATCH_mu=0.55_S	fldA	0.122868698102329	33.4574863133282	0.37723998028494	0.3696	0.4348	0.2846	0.2222	0.563	0.459	0.694	41.57	0.494	0.491	170	176	-0.284659	0.107955	0.784	0.952964257894007	1.05538278298955	1.12947970451203	0.00503843106455877	0.645714285714286	0.639260396976487	0.605714255794163	0.427980548144976	0.378918316491467	0.174579010853645	0.52546457987539	41.5681398581024	60.4021399531974	51.2756685462766	0.3409169649328	-0.3002	0.5256
P00509	fluxes_Gecko_GLC_CHEM_mu=0.35_S	aspC	0.123851970764422	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P0A6S7	fluxes_Gecko_GLC_CHEM_mu=0.41_P	gpsA	0.129069599988428	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
P61949	fluxes_Gecko_GLC_CHEM_mu=0.22_P	fldA	0.142473850196108	33.4574863133282	0.37723998028494	0.3696	0.4348	0.2846	0.2222	0.563	0.459	0.694	41.57	0.494	0.491	170	176	-0.284659	0.107955	0.784	0.952964257894007	1.05538278298955	1.12947970451203	0.00503843106455877	0.645714285714286	0.639260396976487	0.605714255794163	0.427980548144976	0.378918316491467	0.174579010853645	0.52546457987539	41.5681398581024	60.4021399531974	51.2756685462766	0.3409169649328	-0.3002	0.5256
P61949	fluxes_Gecko_GLC_BATCH_mu=0.58_S	fldA	0.147100624149777	33.4574863133282	0.37723998028494	0.3696	0.4348	0.2846	0.2222	0.563	0.459	0.694	41.57	0.494	0.491	170	176	-0.284659	0.107955	0.784	0.952964257894007	1.05538278298955	1.12947970451203	0.00503843106455877	0.645714285714286	0.639260396976487	0.605714255794163	0.427980548144976	0.378918316491467	0.174579010853645	0.52546457987539	41.5681398581024	60.4021399531974	51.2756685462766	0.3409169649328	-0.3002	0.5256
P0A6S7	fluxes_Gecko_GLC_CHEM_mu=0.21_V	gpsA	0.152522490718033	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
P61889	fluxes_Gecko_GLC_CHEM_mu=0.26_P	mdh	0.153550779338157	41.7025816677535	0.389334047502213	0.3874	0.3123	0.2218	0.2892	0.567	0.508	0.711	39.4	0.49	0.525	308	312	0.19359	0.044872	0.781	0.81366546394789	1.43772724414581	1.40670461795029	0.0233939608549452	0.689320388349515	0.636041617599055	0.442393799094308	0.378953324573291	0.26939082998495	0.232411932047201	0.380170219556913	39.4011187717518	53.9861716458411	58.0214458706668	0.2996410133355	-0.3373	0.4726
P00370	fluxes_Gecko_PYR_BATCH_mu=0.4_S	gdhA	0.156520378301243	31.8670580100139	0.349373990235545	0.3506	0.3879	0.2368	0.2646	0.432	0.358	0.632	43.81	0.521	0.534	424	447	-0.157942	0.082774	0.753	0.756412928036687	0.935026035533024	0.727928943728974	-0.122076164379771	0.554545454545455	0.535138632069567	0.572324846296396	0.228049189136969	0.313284958788336	0.145947043951416	0.742499516660082	43.8109597050487	59.1467793576043	49.0760446807562	0.173247909018251	-0.2479	0.2817
P00370	fluxes_Gecko_GLC_BATCH_mu=0.58_S	gdhA	0.160226245247759	31.8670580100139	0.349373990235545	0.3506	0.3879	0.2368	0.2646	0.432	0.358	0.632	43.81	0.521	0.534	424	447	-0.157942	0.082774	0.753	0.756412928036687	0.935026035533024	0.727928943728974	-0.122076164379771	0.554545454545455	0.535138632069567	0.572324846296396	0.228049189136969	0.313284958788336	0.145947043951416	0.742499516660082	43.8109597050487	59.1467793576043	49.0760446807562	0.173247909018251	-0.2479	0.2817
P00370	fluxes_Gecko_MAN_BATCH_mu=0.47_S	gdhA	0.160439931284336	31.8670580100139	0.349373990235545	0.3506	0.3879	0.2368	0.2646	0.432	0.358	0.632	43.81	0.521	0.534	424	447	-0.157942	0.082774	0.753	0.756412928036687	0.935026035533024	0.727928943728974	-0.122076164379771	0.554545454545455	0.535138632069567	0.572324846296396	0.228049189136969	0.313284958788336	0.145947043951416	0.742499516660082	43.8109597050487	59.1467793576043	49.0760446807562	0.173247909018251	-0.2479	0.2817
P00370	fluxes_Gecko_GLC_CHEM_mu=0.46_P	gdhA	0.161740609391748	31.8670580100139	0.349373990235545	0.3506	0.3879	0.2368	0.2646	0.432	0.358	0.632	43.81	0.521	0.534	424	447	-0.157942	0.082774	0.753	0.756412928036687	0.935026035533024	0.727928943728974	-0.122076164379771	0.554545454545455	0.535138632069567	0.572324846296396	0.228049189136969	0.313284958788336	0.145947043951416	0.742499516660082	43.8109597050487	59.1467793576043	49.0760446807562	0.173247909018251	-0.2479	0.2817
P0A6S7	fluxes_Gecko_PYR_BATCH_mu=0.4_S	gpsA	0.164666656645649	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
P00370	fluxes_Gecko_GLC_CHEM_mu=0.50_S	gdhA	0.165776688947159	31.8670580100139	0.349373990235545	0.3506	0.3879	0.2368	0.2646	0.432	0.358	0.632	43.81	0.521	0.534	424	447	-0.157942	0.082774	0.753	0.756412928036687	0.935026035533024	0.727928943728974	-0.122076164379771	0.554545454545455	0.535138632069567	0.572324846296396	0.228049189136969	0.313284958788336	0.145947043951416	0.742499516660082	43.8109597050487	59.1467793576043	49.0760446807562	0.173247909018251	-0.2479	0.2817
P00370	fluxes_Gecko_XYL_BATCH_mu=0.55_S	gdhA	0.166794275014162	31.8670580100139	0.349373990235545	0.3506	0.3879	0.2368	0.2646	0.432	0.358	0.632	43.81	0.521	0.534	424	447	-0.157942	0.082774	0.753	0.756412928036687	0.935026035533024	0.727928943728974	-0.122076164379771	0.554545454545455	0.535138632069567	0.572324846296396	0.228049189136969	0.313284958788336	0.145947043951416	0.742499516660082	43.8109597050487	59.1467793576043	49.0760446807562	0.173247909018251	-0.2479	0.2817
P0A6S7	fluxes_Gecko_GLC_CHEM_mu=0.31_P	gpsA	0.175118415268852	35.1360789169218	0.336400221097001	0.3239	0.3592	0.1828	0.3294	0.332	0.253	0.561	48.88	0.567	0.569	326	339	-0.024779	0.053097	0.732	0.749737088561934	0.835815163140684	0.539719778675989	-0.263364361449733	0.501492537313433	0.496474123515156	0.593999900228646	0.219184197151614	0.406107402047234	0.125805067352386	0.73583108237445	48.8846232108419	60.970454470502	46.9244072751807	0.160330432792471	-0.1537	0.2134
