Protein	Protein(Ensembl)	Gene_Id	Source ID	ratio	EsExp	Es	Fluxes	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P38067	YBR006W	CENPK1137D_4550	fluxes_kapp_Gecko_Yu2021_Ile_std	3.79976758464034E-07	0.000003881217667	1.474772508E-12	0.0000001188	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38067	YBR006W	CENPK1137D_4550	fluxes_kapp_Gecko_Lahtvee2017_EtOH40	4.369668363586E-07	3.20659117217334E-06	1.401174E-12	0.0000001188	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38067	YBR006W	CENPK1137D_4550	fluxes_kapp_Gecko_Yu2021_Phe_N30	5.00199078229807E-07	0.000002948371103	1.474772508E-12	0.0000001188	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38066	YBL033C	CENPK1137D_4890	fluxes_kapp_Gecko_Lahtvee2017_Osmo02	7.34283457865771E-07	8.31899443541142E-05	6.1085E-11	0.000099	30.3707415980819	0.27374637891078	0.331	0.3275	0.3281	0.2754	0.112	0.042	0.417	54.9	0.47	0.481	336	345	-0.59971	0.055072	0.445	0.642103279165753	0.829696631698007	0.700132442258291	-0.644485414105505	0.333333333333333	0.666225917987204	0.80297531957403	0.41225173435874	0.588819642507944	0.327014456881332	1.1030306149445	54.902873559028	53.4784793748944	32.7817684545277	0.11899000715897	0.0361	0.0112
P05373	YGL040C	CENPK1137D_2930	fluxes_kapp_Gecko_Lahtvee2017_EtOH40	7.4263562765407E-07	0.000114859288759754	8.52986E-11	0.000000396	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_Gln_N30	8.01178164359014E-07	5.64636956078208E-05	4.523748E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_Gln_glc2	1.01610004775703E-06	4.68592027577439E-05	4.761363816E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_std_010	1.06788481098713E-06	3.25516681596652E-05	3.4761432E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Yu2021_N30_005	1.19364728005455E-06	0.000001381727272	1.649295E-12	0.0000001188	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P17649	YGR019W	CENPK1137D_2989	fluxes_kapp_Gecko_Lahtvee2017_EtOH40	1.22895964140654E-06	1.67322988543915E-06	2.056332E-12	0.0000001188	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_N30_010	1.31840556409802E-06	3.43122641711156E-05	4.523748E-11	0.000216	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_N30_013	1.40241123040078E-06	4.19340081747589E-05	5.8808724E-11	0.0002964	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Lahtvee2017_REF	1.92827184467444E-06	1.71064573136311E-06	3.29859E-12	-5.26659629999775E-07	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_N30_018	2.01153385686402E-06	4.04802850929615E-05	8.1427464E-11	0.0004104	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Lahtvee2017_Osmo02	2.10186205417585E-06	1.56936559820687E-06	3.29859E-12	-5.32033707856915E-07	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Lahtvee2017_Osmo04	2.25259281348401E-06	1.46435253644363E-06	3.29859E-12	0.0000001188	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P08465	YNL277W	CENPK1137D_2764	fluxes_kapp_Gecko_Yu2020_Clim	2.60503298340826E-06	1.26623732636365E-06	3.29859E-12	0.0000002376	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P15496	YPL117C	CENPK1137D_1583	fluxes_kapp_Gecko_Yu2021_Phe_std	2.74803255181024E-06	2.33909438588088E-05	6.42790751415724E-11	0.00676031702848477	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P15496	YPL117C	CENPK1137D_1583	fluxes_kapp_Gecko_Lahtvee2017_EtOH60	2.92553521867932E-06	2.2250508384526E-05	6.50946459124503E-11	0.00676031702848477	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P17649	YGR019W	CENPK1137D_2989	fluxes_kapp_Gecko_Lahtvee2017_Osmo06	2.98557972448578E-06	6.88754677403287E-07	2.056332E-12	0.0000001188	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
P15496	YPL117C	CENPK1137D_1583	fluxes_kapp_Gecko_Yu2021_Gln_glc1	2.99732551566016E-06	1.71415827838847E-05	5.13789034569386E-11	0.00648717290612175	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Lahtvee2017_Osmo02	3.12249902473041E-06	1.44875881919309E-05	4.523748E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Lahtvee2017_Osmo04	3.20311417785739E-06	1.41229683015109E-05	4.523748E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Lahtvee2017_REF	3.24970480745028E-06	1.39204889921966E-05	4.523748E-11	0.0002352	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P05373	YGL040C	CENPK1137D_2930	fluxes_kapp_Gecko_Lahtvee2017_EtOH20	3.48920693916963E-06	2.44464147547235E-05	8.52986E-11	0.000000396	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P15496	YPL117C	CENPK1137D_1583	fluxes_kapp_Gecko_Yu2021_Phe_N30	3.60285005961023E-06	2.17764985879367E-05	7.84574592356498E-11	0.00676031702848477	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_Phe_std	3.78700309626649E-06	1.19454563014745E-05	4.523748E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P05373	YGL040C	CENPK1137D_2930	fluxes_kapp_Gecko_Lahtvee2017_Osmo02	4.18394380400789E-06	2.03871285073883E-05	8.52986E-11	0.000000396	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P05373	YGL040C	CENPK1137D_2930	fluxes_kapp_Gecko_Lahtvee2017_Osmo04	4.23858388656256E-06	2.01243156400465E-05	8.52986E-11	0.000000396	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_Gln_glc1	4.34062747539075E-06	1.04218756980355E-05	4.523748E-11	0.000228	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_Phe_N30	4.51334036816478E-06	1.0549534109115E-05	4.761363816E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P38067	YBR006W	CENPK1137D_4550	fluxes_kapp_Gecko_Yu2020_CN30	4.58772797356532E-06	3.05417846932866E-07	1.401174E-12	0.0000002376	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P38067	YBR006W	CENPK1137D_4550	fluxes_kapp_Gecko_Yu2020_Clim	4.69063742788357E-06	2.98717183227742E-07	1.401174E-12	0.0000002376	39.2995065591265	0.29585290488485	0.4652	0.2139	0.3655	0.2011	0.195	0.201	0.525	45.77	0.324	0.408	484	497	-0.052918	0.090543	0.588	0.668068552635626	1.11639501716709	0.571850826941054	-0.344584957657629	0.379876796714579	0.511354848801587	0.458041142192818	0.221523050637757	0.387379085945768	0.105805704522366	0.501324391333491	45.7734215772547	61	47.3734458647167	0.137850446209603	-0.1138	0.0338
P15496	YPL117C	CENPK1137D_1583	fluxes_kapp_Gecko_Lahtvee2017_EtOH20	4.82992529059562E-06	1.39269214496317E-05	6.72659901297148E-11	0.00676031702848477	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P06773	YHR144C	CENPK1137D_5293	fluxes_kapp_Gecko_Yu2021_N30_005	4.88516153024383E-06	4.63009050160744E-06	2.261874E-11	0.0002376	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
