Protein	Protein(Ensembl)	Gene_Id	Source ID	ratio	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P17649	YGR019W	CENPK1137D_2989	fluxes_Gecko_Yu2021_N30_010	1.31624792828597E-06	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_N30_010	1.31840556409802E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_N30_013	1.40241123040078E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P08465	YNL277W	CENPK1137D_2764	fluxes_Gecko_Lahtvee2017_REF	1.92827184467444E-06	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_N30_018	2.01153385686402E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P08465	YNL277W	CENPK1137D_2764	fluxes_Gecko_Lahtvee2017_Osmo02	2.10186205417585E-06	33.5181087259291	0.311535001185915	0.359	0.2564	0.3404	0.2965	0.136	0.135	0.483	53.41	0.43	0.453	470	486	-0.263992	0.084362	0.495	0.601679371256182	1.01297126528703	0.527992827765058	-0.567203209557512	0.244725738396624	0.557513387166545	0.550374335651634	0.281379481681811	0.532922924110281	0.190153599657952	0.838809071891796	53.4075463383178	57.5501736177501	38.6368229392608	0.082345535338376	-0.004	0.0381
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Yu2021_Phe_std	2.74803255181024E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Lahtvee2017_EtOH60	2.92553521867932E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Yu2021_Gln_glc1	2.99732551566016E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Lahtvee2017_Osmo02	3.12249902473041E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Lahtvee2017_Osmo04	3.20311417785739E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Lahtvee2017_REF	3.24970480745028E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P05373	YGL040C	CENPK1137D_2930	fluxes_Gecko_Lahtvee2017_EtOH20	3.48920693916963E-06	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Yu2021_Phe_N30	3.60285005961023E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_Phe_std	3.78700309626649E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P05373	YGL040C	CENPK1137D_2930	fluxes_Gecko_Lahtvee2017_Osmo02	4.18394380400789E-06	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P05373	YGL040C	CENPK1137D_2930	fluxes_Gecko_Lahtvee2017_Osmo04	4.23858388656256E-06	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_Gln_glc1	4.34062747539075E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_Phe_N30	4.51334036816478E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Lahtvee2017_EtOH20	4.82992529059562E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_N30_005	4.88516153024383E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P05373	YGL040C	CENPK1137D_2930	fluxes_Gecko_Lahtvee2017_REF	5.08763351500394E-06	30.4012395120184	0.283419327756315	0.4626	0.2211	0.3267	0.2267	0.203	0.202	0.512	48.11	0.347	0.435	334	342	-0.085965	0.087719	0.578	0.695517416034591	1.11456022302505	0.743024667227357	-0.3173964848489	0.44311377245509	0.591980274741952	0.531133502266253	0.306802700367565	0.412910518182954	0.163040712667079	0.56429167950268	48.1123845202513	57.9387511140899	43.3884957481062	0.177434113676493	-0.0859	0.0374
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Yu2020_Clim	5.29563221113716E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Yu2021_N30_005	5.46622121370637E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P38066	YBL033C	CENPK1137D_4890	fluxes_Gecko_Yu2020_Clim	5.70943447227975E-06	30.3707415980819	0.27374637891078	0.331	0.3275	0.3281	0.2754	0.112	0.042	0.417	54.9	0.47	0.481	336	345	-0.59971	0.055072	0.445	0.642103279165753	0.829696631698007	0.700132442258291	-0.644485414105505	0.333333333333333	0.666225917987204	0.80297531957403	0.41225173435874	0.588819642507944	0.327014456881332	1.1030306149445	54.902873559028	53.4784793748944	32.7817684545277	0.11899000715897	0.0361	0.0112
P16622	YOR176W	CENPK1137D_2194	fluxes_Gecko_Lahtvee2017_Osmo04	6.63411496860541E-06	34.9821434448457	0.301005637928595	0.4252	0.2658	0.3624	0.2271	0.169	0.119	0.479	50.22	0.376	0.413	378	393	-0.389568	0.10687	0.548	0.646338093443204	1.03105623727872	0.632548188489243	-0.419057583045794	0.280839895013123	0.558177677878312	0.541364920454309	0.302541746041151	0.47829043153808	0.191515756582935	0.717336551174765	50.2153748407425	57.7566920840612	42.1398122086268	0.127332457488248	-0.1408	0.0261
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_Ile_N30	7.23563396812301E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P28789	YDL205C	CENPK1137D_3997	fluxes_Gecko_Lahtvee2017_EtOH40	7.43597588537089E-06	32.2325788253457	0.320800784451002	0.3896	0.241	0.3936	0.2634	0.184	0.221	0.535	48.74	0.379	0.416	314	327	-0.280122	0.055046	0.542	0.691625162074183	1.08242207797145	0.718065425763898	-0.401367914781186	0.468354430379747	0.56187221726808	0.519087912841796	0.292898936344158	0.407900068482706	0.162307088492132	0.74042480697483	48.7435098375117	59.7182601632588	38.1850538188504	0.140252209134979	-0.0259	0.0575
P06773	YHR144C	CENPK1137D_5293	fluxes_Gecko_Yu2021_Ile_std	7.61569516286968E-06	28.3706929422466	0.279471937869752	0.4143	0.2151	0.4558	0.2039	0.128	-0.019	0.396	49.2	0.317	0.384	303	312	-0.289423	0.070513	0.502	0.69503185691494	0.677490888319752	0.533941314678455	-0.59018550181229	0.425742574257426	0.54578277642313	0.805594268251677	0.296389808481121	0.555098098485993	0.175397740904236	1.20838522879335	49.1976693435034	59.9927674587111	34.0985459724071	0.162336317612719	0.0747	0.0323
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Yu2021_Ile_std	8.69673435809389E-06	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P38066	YBL033C	CENPK1137D_4890	fluxes_Gecko_Lahtvee2017_REF	8.76097826392611E-06	30.3707415980819	0.27374637891078	0.331	0.3275	0.3281	0.2754	0.112	0.042	0.417	54.9	0.47	0.481	336	345	-0.59971	0.055072	0.445	0.642103279165753	0.829696631698007	0.700132442258291	-0.644485414105505	0.333333333333333	0.666225917987204	0.80297531957403	0.41225173435874	0.588819642507944	0.327014456881332	1.1030306149445	54.902873559028	53.4784793748944	32.7817684545277	0.11899000715897	0.0361	0.0112
P15496	YPL117C	CENPK1137D_1583	fluxes_Gecko_Yu2021_N30_030	1.12471338247066E-05	30.7303986151226	0.305735613670049	0.4977	0.2304	0.433	0.1839	0.275	0.241	0.562	42.42	0.299	0.372	274	288	-0.591319	0.09375	0.675	0.811616112347226	1.12979817011705	1.02810118835385	-0.166213861802661	0.640569395017794	0.609724567276148	0.539675654823355	0.354629809658856	0.344936679070153	0.199532277406918	0.428201967666722	42.4161202744631	59.6547430208265	46.3831146896419	0.241009504319017	-0.0239	0.0725
P07172	YIL116W	CENPK1137D_5143	fluxes_Gecko_Lahtvee2017_EtOH20	1.19494494108004E-05	24.2811798759503	0.301017595297185	0.4286	0.2381	0.3659	0.2264	0.209	0.22	0.533	47.81	0.36	0.397	375	385	-0.127273	0.075325	0.589	0.681762503123534	1.16937347356838	0.714956554436201	-0.295466579145801	0.414438502673797	0.526468391159673	0.450214070234667	0.279274552974856	0.390617515486777	0.149528386139563	0.623605720431023	47.8070136277345	61	42.840732602894	0.138118722825051	-0.0561	0.046
P16622	YOR176W	CENPK1137D_2194	fluxes_Gecko_Lahtvee2017_EtOH60	1.22925775912217E-05	34.9821434448457	0.301005637928595	0.4252	0.2658	0.3624	0.2271	0.169	0.119	0.479	50.22	0.376	0.413	378	393	-0.389568	0.10687	0.548	0.646338093443204	1.03105623727872	0.632548188489243	-0.419057583045794	0.280839895013123	0.558177677878312	0.541364920454309	0.302541746041151	0.47829043153808	0.191515756582935	0.717336551174765	50.2153748407425	57.7566920840612	42.1398122086268	0.127332457488248	-0.1408	0.0261
P17649	YGR019W	CENPK1137D_2989	fluxes_Gecko_Yu2021_Phe_N30	1.24336045146941E-05	31.9119726483053	0.335823951996023	0.3962	0.2884	0.3833	0.2327	0.287	0.297	0.579	42.75	0.393	0.42	461	471	-0.419745	0.10828	0.663	0.726819642229649	1.43596838958708	1.04831139984061	-0.121849573156059	0.417204301075269	0.668085914600916	0.465251129095557	0.370164054043108	0.353105054566219	0.232599133206277	0.432827235722257	42.7543866422391	53.866840425705	48.133181944499	0.188969769032037	-0.0915	0.0524
